,+/-,3P,3P%,3PA,AST,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Unnamed: 5,Unnamed: 7,player
35,-11.0,1.0,0.16699999999999998,6.0,3.0,1.0,7.0,12/27/17,6.0,0.353,17.0,4.0,0.8,5.0,34.0,1,9.4,34:45:00,0.0,GSW,4.0,17.0,36,2.0,3.0,7.0,@,L (-25),donovan mitchell
36,6.0,2.0,0.33299999999999996,6.0,6.0,1.0,4.0,12/30/17,10.0,0.588,17.0,7.0,0.875,8.0,35.0,1,24.2,38:45:00,0.0,CLE,4.0,29.0,37,3.0,4.0,4.0,,W (+3),donovan mitchell
37,1.0,3.0,0.273,11.0,2.0,0.0,3.0,1/3/18,6.0,0.353,17.0,9.0,0.9,10.0,36.0,1,13.2,38:18:00,0.0,NOP,3.0,24.0,38,1.0,3.0,3.0,,L (-10),donovan mitchell
38,1.0,3.0,0.5,6.0,5.0,1.0,7.0,1/5/18,6.0,0.462,13.0,0.0,0.0,1.0,37.0,1,13.8,35:43:00,0.0,DEN,1.0,15.0,39,1.0,1.0,7.0,@,L (-8),donovan mitchell
39,5.0,3.0,0.3,10.0,3.0,0.0,2.0,1/7/18,12.0,0.48,25.0,0.0,,0.0,38.0,1,15.0,36:28:00,0.0,MIA,5.0,27.0,40,1.0,1.0,2.0,@,L (-1),donovan mitchell
40,-8.0,2.0,0.2,10.0,4.0,1.0,4.0,1/10/18,7.0,0.35,20.0,0.0,,0.0,39.0,1,7.6,30:59:00,1.0,WAS,4.0,16.0,41,1.0,2.0,5.0,@,W (+3),donovan mitchell
41,-18.0,5.0,0.455,11.0,0.0,0.0,4.0,1/12/18,10.0,0.5,20.0,10.0,0.909,11.0,40.0,1,22.7,36:47:00,1.0,CHO,2.0,35.0,42,2.0,5.0,5.0,@,L (-11),donovan mitchell
42,-18.0,2.0,0.25,8.0,2.0,0.0,1.0,1/15/18,8.0,0.5,16.0,5.0,1.0,5.0,41.0,1,18.4,32:51:00,1.0,IND,0.0,23.0,43,2.0,1.0,2.0,,L (-15),donovan mitchell
43,6.0,1.0,0.25,4.0,3.0,0.0,1.0,1/17/18,14.0,0.737,19.0,5.0,0.7140000000000001,7.0,42.0,1,26.7,34:03:00,0.0,SAC,3.0,34.0,44,3.0,3.0,1.0,@,W (+15),donovan mitchell
44,-8.0,3.0,0.273,11.0,7.0,1.0,3.0,1/19/18,7.0,0.33299999999999996,21.0,0.0,,0.0,43.0,1,6.3,36:33:00,1.0,NYK,5.0,17.0,45,1.0,5.0,4.0,,L (-2),donovan mitchell
45,8.0,1.0,0.16699999999999998,6.0,7.0,0.0,4.0,1/20/18,9.0,0.563,16.0,4.0,0.5710000000000001,7.0,44.0,1,17.8,35:49:00,1.0,LAC,3.0,23.0,46,2.0,4.0,5.0,,W (+12),donovan mitchell
46,-6.0,2.0,0.4,5.0,0.0,0.0,6.0,1/22/18,5.0,0.385,13.0,1.0,0.5,2.0,45.0,1,0.9,31:32:00,0.0,ATL,1.0,13.0,47,0.0,6.0,6.0,@,L (-14),donovan mitchell
47,2.0,1.0,0.16699999999999998,6.0,5.0,1.0,3.0,1/24/18,6.0,0.28600000000000003,21.0,2.0,1.0,2.0,46.0,1,5.7,43:17:00,1.0,DET,2.0,15.0,48,2.0,4.0,4.0,@,W (+3),donovan mitchell
48,11.0,4.0,0.5710000000000001,7.0,2.0,0.0,2.0,1/26/18,9.0,0.45,20.0,4.0,0.667,6.0,47.0,1,15.8,37:17:00,0.0,TOR,0.0,26.0,49,0.0,1.0,2.0,@,W (+4),donovan mitchell
49,17.0,2.0,0.4,5.0,4.0,0.0,3.0,1/30/18,8.0,0.47100000000000003,17.0,2.0,1.0,2.0,48.0,1,16.8,25:55:00,0.0,GSW,3.0,20.0,50,4.0,1.0,3.0,,W (+30),donovan mitchell
50,36.0,7.0,0.778,9.0,6.0,0.0,4.0,2/2/18,14.0,0.737,19.0,5.0,1.0,5.0,49.0,1,38.4,33:05:00,1.0,PHO,0.0,40.0,51,2.0,2.0,5.0,@,W (+32),donovan mitchell
